t_rel_s,ts_ns,values
14.340,1779427890172536221,"[-0.0, 0.0, 20.0, 4.032715827939626e-11]"
14.360,1779427890192653973,"[-1.621259093284607, 0.4009580612182617, 20.0, 3.226172801129579e-11]"
14.380,1779427890212440396,"[-1.4422142505645752, 0.37809625267982483, 20.0, 2.580938240903663e-11]"
14.400,1779427890232438857,"[-0.0, -0.0, 20.0, 2.0647506274174e-11]"
14.420,1779427890252589651,"[-1.0645782947540283, -0.8187486529350281, 20.0, 1.6518003978505114e-11]"
14.440,1779427890272561154,"[-0.9619680643081665, -0.7796756625175476, 20.0, 1.3214403529748786e-11]"
14.460,1779427890292493700,"[-0.7825523614883423, -1.0979881286621094, 20.0, 1.0571522823799029e-11]"
14.480,1779427890312527161,"[-0.7195045351982117, -1.1131418943405151, 20.0, 8.45721843251157e-12]"
14.500,1779427890332499665,"[-0.6703005433082581, -1.1342697143554688, 20.0, 6.765774572536909e-12]"
14.521,1779427890352883414,"[-0.6048320531845093, -1.0234851837158203, 20.0, 5.412619571293353e-12]"
14.540,1779427890372382548,"[-0.38100436329841614, -1.410922884941101, 20.0, 4.3300957437708565e-12]"
14.560,1779427890392483092,"[-0.3353908658027649, -1.38239324092865, 20.0, 3.464076681752859e-12]"
14.580,1779427890412548344,"[-0.14999084174633026, -1.3559085130691528, 20.0, 2.7712613020342003e-12]"
14.600,1779427890432494598,"[-0.08387146890163422, -1.4260585308074951, 20.0, 2.2170089115230995e-12]"
14.620,1779427890452466810,"[-0.020790884271264076, -1.4923341274261475, 20.0, 1.77360719427061e-12]"
14.640,1779427890472481897,"[-0.019211990758776665, -1.379003882408142, 20.0, 1.4188857337324445e-12]"
14.660,1779427890492458192,"[0.07281428575515747, -0.9635470509529114, 20.0, 1.135108608669999e-12]"
14.680,1779427890512426904,"[0.11977696418762207, -1.0005590915679932, 20.0, 9.080869194620644e-13]"
14.700,1779427890532646155,"[0.14161993563175201, -1.002770185470581, 20.0, 7.264695030435864e-13]"
14.720,1779427890552602909,"[0.0064857639372348785, -0.17181405425071716, 20.0, 5.811756241189125e-13]"
14.740,1779427890572586495,"[0.008140354417264462, -0.15062488615512848, 20.0, 4.649404776110866e-13]"
14.760,1779427890592420751,"[0.01155774388462305, -0.18368323147296906, 20.0, 3.7195238750988013e-13]"
14.780,1779427890612587210,"[-0.0, -0.0, 20.0, 2.9756191542891497e-13]"
14.800,1779427890632516840,"[-0.0, -0.0, 20.0, 2.380495431851537e-13]"
14.820,1779427890652509468,"[-0.0, -0.0, 20.0, 1.9043962370610124e-13]"
