t_rel_s,ts_ns,value
13.696,1779427889528556706,10
13.712,1779427889544598758,10
13.728,1779427889560630019,10
13.744,1779427889576277159,10
13.760,1779427889592450168,10
13.776,1779427889608322180,10
13.792,1779427889624316983,10
13.808,1779427889640178787,10
13.824,1779427889656164257,10
13.840,1779427889672030436,10
13.856,1779427889688096405,10
13.872,1779427889703808586,10
13.888,1779427889719832847,10
13.904,1779427889735801108,10
13.920,1779427889752537902,10
13.935,1779427889767573133,10
13.966,1779427889798039215,10
13.981,1779427889813566649,10
13.997,1779427889829746074,10
14.013,1779427889845584254,10
14.030,1779427889861775929,10
14.045,1779427889877417528,10
14.061,1779427889893362748,10
14.077,1779427889909343259,10
14.093,1779427889925311521,10
14.109,1779427889941483654,10
14.126,1779427889958140532,10
14.141,1779427889973285721,10
14.157,1779427889989216357,10
14.173,1779427890005109661,10
14.189,1779427890021181755,10
14.205,1779427890036869728,10
14.221,1779427890052856364,10
14.237,1779427890068858167,10
14.253,1779427890085622960,10
14.269,1779427890100862064,10
14.284,1779427890116740493,10
14.300,1779427890132473965,10
14.330,1779427890162694634,10
14.346,1779427890178731145,10
14.362,1779427890194673740,10
14.378,1779427890210553627,10
14.395,1779427890226775344,10
14.410,1779427890242519025,10
14.426,1779427890258515953,10
14.442,1779427890274268842,10
14.458,1779427890290424059,10
14.474,1779427890306336321,10
14.490,1779427890322418914,10
14.506,1779427890338105721,10
14.522,1779427890354090607,10
14.538,1779427890370202950,10
14.554,1779427890385971714,10
14.570,1779427890401969725,10
14.586,1779427890417843779,10
14.602,1779427890433794249,10
14.618,1779427890449863717,10
14.634,1779427890465825271,10
14.649,1779427890481431286,10
14.665,1779427890497538088,10
14.696,1779427890527859380,10
14.712,1779427890543984848,10
14.742,1779427890573770647,10
14.758,1779427890589830783,10
14.774,1779427890605946042,10
14.789,1779427890621680098,10
14.805,1779427890637587694,10
14.821,1779427890653313875,10
14.837,1779427890669572341,10
14.854,1779427890686510965,10
14.869,1779427890701262117,10
14.885,1779427890717267419,10
14.901,1779427890733344179,10
14.917,1779427890749157276,10
14.933,1779427890765295869,10
14.963,1779427890795761826,10
14.994,1779427890825874580,10
15.010,1779427890841830008,10
15.026,1779427890857782520,10
15.042,1779427890873806780,10
15.058,1779427890890083038,10
15.073,1779427890905591346,10
15.089,1779427890921470651,10
15.105,1779427890937368621,10
15.121,1779427890953249092,10
15.137,1779427890969513100,10
15.153,1779427890985404654,10
15.169,1779427891001003670,10
15.185,1779427891016991764,10
15.201,1779427891033193939,10
15.217,1779427891049035327,10
15.233,1779427891064879923,10
15.248,1779427891080605521,10
15.265,1779427891096993194,10
15.310,1779427891141829391,10
15.326,1779427891158133357,10
15.355,1779427891187739200,10
15.371,1779427891203747711,10
15.388,1779427891219945803,10
15.403,1779427891235507194,10
15.419,1779427891251582204,10
15.435,1779427891267573798,10
15.451,1779427891283569768,10
15.467,1779427891299236741,10
15.483,1779427891315438041,10
15.499,1779427891331179681,10
15.515,1779427891347129567,10
15.531,1779427891363170161,10
15.547,1779427891378950300,10
15.578,1779427891409822252,10
15.608,1779427891439984297,10
15.624,1779427891455799727,10
15.640,1779427891471811154,10
15.655,1779427891487734208,10
15.671,1779427891503584638,10
15.687,1779427891519587607,10
15.703,1779427891535399245,10
15.720,1779427891551990207,10
15.735,1779427891567448058,10
15.751,1779427891583252113,10
15.767,1779427891599195292,10
15.783,1779427891615072554,10
15.799,1779427891631035274,10
15.815,1779427891646957452,10
15.831,1779427891663145045,10
15.847,1779427891678905350,10
15.862,1779427891694649031,10
15.878,1779427891710676500,10
15.924,1779427891755814568,10
15.940,1779427891771904745,10
15.970,1779427891801782126,10
15.986,1779427891818105925,10
16.001,1779427891833695316,10
16.017,1779427891849521537,10
16.033,1779427891865554548,10
16.049,1779427891881563934,10
16.065,1779427891897378780,10
16.081,1779427891913236793,10
16.098,1779427891929855172,10
16.113,1779427891945128983,10
16.129,1779427891961510239,10
16.145,1779427891977090881,10
16.161,1779427891993030267,10
16.177,1779427892009112569,10
16.193,1779427892024895041,10
16.208,1779427892040730596,10
16.225,1779427892056812314,10
16.255,1779427892086936734,10
16.270,1779427892102625582,10
16.286,1779427892118655093,10
16.302,1779427892134608479,10
16.318,1779427892150719947,10
16.334,1779427892166574752,10
16.350,1779427892182520847,10
16.366,1779427892198406568,10
16.382,1779427892214206539,10
16.398,1779427892230287966,10
16.414,1779427892246141021,10
16.430,1779427892262072824,10
16.446,1779427892278116918,10
16.462,1779427892294111721,10
16.477,1779427892309753028,10
16.494,1779427892325806455,10
16.510,1779427892341954672,10
16.525,1779427892357693686,10
16.571,1779427892402936753,10
16.587,1779427892419153512,10
16.616,1779427892448717355,10
16.632,1779427892464706616,10
16.648,1779427892480585921,10
16.665,1779427892496835345,10
16.680,1779427892512559776,10
16.696,1779427892528375789,10
16.712,1779427892544280468,10
16.728,1779427892560601350,10
16.744,1779427892576236824,10
16.760,1779427892592359667,10
16.776,1779427892608270471,10
16.792,1779427892624208982,10
16.808,1779427892639855539,10
16.824,1779427892655974299,10
16.840,1779427892671870520,10
16.856,1779427892687779865,10
16.872,1779427892703897458,10
16.902,1779427892733862338,10
16.917,1779427892749739892,10
16.934,1779427892765867110,10
16.949,1779427892781627999,10
16.965,1779427892797532386,10
16.981,1779427892813425690,10
16.997,1779427892829269120,10
17.013,1779427892845395754,10
17.029,1779427892861351183,10
17.045,1779427892877112655,10
17.061,1779427892893020542,10
17.077,1779427892909054136,10
17.093,1779427892925033480,10
17.109,1779427892941023033,10
17.125,1779427892956943462,10
17.140,1779427892972695309,10
17.157,1779427892988889026,10
17.173,1779427893004846954,10
17.189,1779427893020811007,10
17.204,1779427893036690020,10
17.220,1779427893052529366,10
17.236,1779427893068373671,10
17.267,1779427893098833503,10
17.282,1779427893114625309,10
17.312,1779427893144682938,10
17.328,1779427893160735198,10
17.345,1779427893176842875,10
17.360,1779427893192740845,10
17.376,1779427893208555400,10
17.392,1779427893224445496,10
17.408,1779427893240260926,10
17.424,1779427893256548850,10
17.440,1779427893272167407,10
17.456,1779427893288250875,10
17.472,1779427893303981723,10
17.488,1779427893320087649,10
17.504,1779427893335929329,10
17.520,1779427893352502208,10
17.536,1779427893367850685,10
17.552,1779427893383798239,10
17.582,1779427893414717732,10
17.613,1779427893444912443,10
