t_rel_s,ts_ns,values
28.536,1779427904368697418,"[0, 0]"
28.603,1779427904435624176,"[0, 0]"
28.671,1779427904503486880,"[0, 0]"
28.742,1779427904573966094,"[0, 0]"
28.806,1779427904638752920,"[0, 0]"
28.873,1779427904705157310,"[0, 0]"
28.940,1779427904772269857,"[0, 0]"
29.006,1779427904838537748,"[0, 0]"
29.069,1779427904900899979,"[0, 0]"
29.136,1779427904968263648,"[0, 0]"
29.207,1779427905038874110,"[0, 0]"
29.271,1779427905103232191,"[0, 0]"
29.338,1779427905170586819,"[0, 0]"
29.404,1779427905236009470,"[0, 0]"
29.473,1779427905305728027,"[0, 0]"
29.542,1779427905374144017,"[0, 0]"
29.603,1779427905435020307,"[0, 0]"
29.664,1779427905496736213,"[0, 0]"
29.735,1779427905567328592,"[0, 0]"
29.797,1779427905629223870,"[0, 0]"
29.878,1779427905709973999,"[0, 0]"
29.942,1779427905774064042,"[0, 0]"
30.024,1779427905856182946,"[0, 0]"
30.070,1779427905901801675,"[0, 0]"
30.137,1779427905968853556,"[0, 0]"
30.203,1779427906034765327,"[0, 0]"
30.271,1779427906103607436,"[0, 0]"
30.336,1779427906168711008,"[0, 0]"
30.404,1779427906236572546,"[0, 0]"
30.467,1779427906298948318,"[0, 0]"
30.535,1779427906367201852,"[0, 0]"
30.605,1779427906437070615,"[0, 0]"
30.675,1779427906506912253,"[0, 0]"
30.737,1779427906569432566,"[0, 0]"
30.802,1779427906634158726,"[0, 0]"
30.869,1779427906701287606,"[0, 0]"
30.935,1779427906767738661,"[0, 0]"
31.000,1779427906832704568,"[0, 0]"
31.075,1779427906907086818,"[0, 0]"
31.139,1779427906971521315,"[0, 0]"
31.201,1779427907033217970,"[0, 0]"
31.276,1779427907108407835,"[0, 0]"
31.340,1779427907172334838,"[0, 0]"
31.403,1779427907235575266,"[0, 0]"
31.470,1779427907301948447,"[0, 0]"
31.559,1779427907391170222,"[0, 0]"
31.599,1779427907431680764,"[0, 0]"
31.669,1779427907500905535,"[0, 0]"
31.737,1779427907569154402,"[0, 0]"
31.798,1779427907630459062,"[0, 0]"
31.876,1779427907708641390,"[0, 0]"
31.942,1779427907774037500,"[0, 0]"
32.008,1779427907840727135,"[0, 0]"
32.068,1779427907900530023,"[0, 0]"
32.144,1779427907976752958,"[0, 0]"
32.202,1779427908034608119,"[0, 0]"
32.276,1779427908108365334,"[0, 0]"
32.340,1779427908172178006,"[0, 0]"
32.406,1779427908238201191,"[0, 0]"
32.468,1779427908300503631,"[0, 0]"
32.539,1779427908371263133,"[0, 0]"
32.608,1779427908440285490,"[0, 0]"
32.674,1779427908506486591,"[0, 0]"
32.742,1779427908574757040,"[0, 0]"
32.805,1779427908636891482,"[0, 0]"
32.874,1779427908705917048,"[0, 0]"
32.932,1779427908764466075,"[0, 0]"
33.007,1779427908838994739,"[0, 0]"
33.068,1779427908900591938,"[0, 0]"
33.137,1779427908969074135,"[0, 0]"
33.203,1779427909035013905,"[0, 0]"
33.274,1779427909106189611,"[0, 0]"
33.343,1779427909174807723,"[0, 0]"
33.409,1779427909240979365,"[0, 0]"
33.469,1779427909301301412,"[0, 0]"
33.532,1779427909364266511,"[0, 0]"
33.602,1779427909434467187,"[0, 0]"
33.670,1779427909501962687,"[0, 0]"
33.743,1779427909574894205,"[0, 0]"
33.808,1779427909640181524,"[0, 0]"
33.870,1779427909702347216,"[0, 0]"
33.931,1779427909763077675,"[0, 0]"
34.007,1779427909839052405,"[0, 0]"
34.077,1779427909908977167,"[0, 0]"
34.136,1779427909967956398,"[0, 0]"
34.203,1779427910035053737,"[0, 0]"
34.270,1779427910102588029,"[0, 0]"
34.342,1779427910174185771,"[0, 0]"
34.403,1779427910234979146,"[0, 0]"
34.473,1779427910305502985,"[0, 0]"
34.534,1779427910366742730,"[0, 0]"
34.604,1779427910435842877,"[0, 0]"
34.677,1779427910509503844,"[0, 0]"
34.733,1779427910565152282,"[0, 0]"
34.802,1779427910634354887,"[0, 0]"
34.876,1779427910708299933,"[0, 0]"
34.933,1779427910765334938,"[0, 0]"
35.005,1779427910837315051,"[0, 0]"
35.065,1779427910897290602,"[0, 0]"
35.137,1779427910969284131,"[0, 0]"
35.203,1779427911035316650,"[0, 0]"
35.271,1779427911102820026,"[0, 0]"
35.342,1779427911174442559,"[0, 0]"
35.405,1779427911236939830,"[0, 0]"
35.478,1779427911309951263,"[0, 0]"
35.543,1779427911375464038,"[0, 0]"
35.609,1779427911440842357,"[0, 0]"
35.666,1779427911498043318,"[0, 0]"
35.742,1779427911574499583,"[0, 0]"
35.803,1779427911634805589,"[0, 0]"
35.869,1779427911700859691,"[0, 0]"
35.939,1779427911771587111,"[0, 0]"
36.005,1779427911837464465,"[0, 0]"
36.080,1779427911911884922,"[0, 0]"
36.136,1779427911968012563,"[0, 0]"
36.197,1779427912029445555,"[0, 0]"
36.271,1779427912103308061,"[0, 0]"
36.341,1779427912173484529,"[0, 0]"
36.410,1779427912242018058,"[0, 0]"
36.469,1779427912301502158,"[0, 0]"
36.535,1779427912367219972,"[0, 0]"
36.608,1779427912440224114,"[0, 0]"
36.671,1779427912503613873,"[0, 0]"
36.734,1779427912565915147,"[0, 0]"
36.810,1779427912641872377,"[0, 0]"
36.867,1779427912698980880,"[0, 0]"
36.934,1779427912766007970,"[0, 0]"
37.009,1779427912841211835,"[0, 0]"
37.068,1779427912900549228,"[0, 0]"
37.135,1779427912967614525,"[0, 0]"
37.206,1779427913038619316,"[0, 0]"
37.270,1779427913102522112,"[0, 0]"
37.342,1779427913174283476,"[0, 0]"
37.409,1779427913241460773,"[0, 0]"
37.467,1779427913299273060,"[0, 0]"
37.533,1779427913365471827,"[0, 0]"
37.607,1779427913438854255,"[0, 0]"
37.669,1779427913501519232,"[0, 0]"
37.739,1779427913570819544,"[0, 0]"
37.804,1779427913636493901,"[0, 0]"
37.877,1779427913708810009,"[0, 0]"
37.930,1779427913762095685,"[0, 0]"
38.010,1779427913841968491,"[0, 0]"
38.075,1779427913906780983,"[0, 0]"
38.140,1779427913972014929,"[0, 0]"
38.204,1779427914035793517,"[0, 0]"
38.265,1779427914097284550,"[0, 0]"
38.332,1779427914163968353,"[0, 0]"
38.398,1779427914230412992,"[0, 0]"
38.464,1779427914295766227,"[0, 0]"
