t_rel_s,ts_ns,value
36.809,1779427912641747253,nan
36.867,1779427912698846132,nan
36.934,1779427912765981429,nan
37.008,1779427912840652716,nan
37.068,1779427912900324355,nan
37.135,1779427912967503985,nan
37.206,1779427913038469402,nan
37.270,1779427913102466987,nan
37.342,1779427913174163603,nan
37.409,1779427913241409732,nan
37.467,1779427913299142978,nan
37.533,1779427913365380244,nan
37.606,1779427913438739631,nan
37.669,1779427913501208319,nan
37.738,1779427913570621213,nan
37.804,1779427913636261445,nan
37.876,1779427913708746718,nan
37.930,1779427913761946937,nan
38.010,1779427913841855326,nan
38.074,1779427913905874786,nan
38.140,1779427913971894764,nan
38.203,1779427914035704852,nan
38.265,1779427914097105469,nan
38.332,1779427914163915854,nan
38.398,1779427914230311493,nan
38.463,1779427914295450940,nan
38.536,1779427914367803506,nan
38.606,1779427914438521300,nan
38.675,1779427914507067080,nan
38.742,1779427914573817673,nan
38.798,1779427914630385434,nan
38.867,1779427914699461165,nan
38.932,1779427914764679944,nan
39.007,1779427914839460021,nan
39.073,1779427914904962589,nan
39.168,1779427915000304621,nan
39.198,1779427915029841632,nan
39.265,1779427915096857055,nan
39.333,1779427915165329044,nan
39.397,1779427915229008467,nan
39.469,1779427915301736403,nan
39.540,1779427915372295533,nan
39.602,1779427915434704180,nan
39.666,1779427915498088106,nan
39.742,1779427915574067669,nan
39.807,1779427915638815996,nan
39.870,1779427915702308504,nan
39.932,1779427915764672485,nan
40.005,1779427915837065884,nan
40.075,1779427915906949230,nan
40.132,1779427915964023609,nan
40.205,1779427916037670576,nan
40.265,1779427916097702711,nan
40.345,1779427916177242438,nan
40.410,1779427916242297011,nan
40.466,1779427916297887117,nan
40.530,1779427916362521986,nan
40.597,1779427916428867168,nan
40.664,1779427916496356544,nan
40.733,1779427916565388817,nan
40.802,1779427916634058262,nan
40.863,1779427916695483963,nan
40.941,1779427916773145380,nan
40.996,1779427916828736361,nan
41.071,1779427916902977445,nan
41.138,1779427916970737484,nan
41.209,1779427917041593819,nan
41.266,1779427917098057456,nan
41.340,1779427917172432997,nan
41.425,1779427917256815789,nan
41.464,1779427917296147721,nan
41.531,1779427917362995438,nan
41.608,1779427917440268651,nan
41.668,1779427917500485409,nan
41.741,1779427917572837683,nan
41.804,1779427917636145194,nan
41.863,1779427917695329464,nan
41.930,1779427917762756716,nan
42.001,1779427917832782394,nan
42.076,1779427917907931133,nan
42.131,1779427917963619321,nan
42.196,1779427918028725810,nan
42.294,1779427918126537645,nan
42.343,1779427918175032756,nan
42.398,1779427918230300574,nan
42.465,1779427918297173666,nan
